company,website,priority,target_roles,evidence,source_url,status
Littlefish,https://www.littlefish.co.uk/,B,Chief Commercial Officer; Marketing Director; Cyber Services Director,UK managed IT and cyber provider with a named Cyber Services Director and comprehensive cyber assessments,https://www.littlefish.co.uk/our-services/cyber-security-services/cyber-assessment/,qualified_batch_02
QuoStar,https://www.quostar.com/,B,CISO; Commercial Director; Marketing Director,Domain now redirects to Zenzero; no longer a current standalone account,https://www.quostar.com/,disqualified_no_longer_standalone
Zenzero,https://zenzero.co.uk/,B,CEO; Commercial Director; Marketing Director,"Current UK MSP spanning managed IT, cyber, data and AI with published leadership and contact route",https://zenzero.co.uk/cyber-security,qualified_batch_02_replacement
Chorus,https://www.chorus.co.uk/,B,CEO; Commercial Director; Marketing Lead,"UK-headquartered Microsoft MSP/MSSP with managed cyber services, public operating metrics and a published sales route",https://www.chorus.co.uk/llm-info/,qualified_batch_02
Air IT,https://www.airit.co.uk/,B,Commercial Director; Marketing Director; Head of Cyber,UK SME-focused managed IT group with a dedicated cyber division and public commercial enquiry route,https://www.airit.co.uk/services/cyber-security/,qualified_batch_03
BCN Group,https://bcn.co.uk/,B,CEO; Group Sales Director; Marketing Director,UK Microsoft partner offering managed IT and cyber services with a free Cyber Security Assessment,https://bcn.co.uk/cyber-security/cyber-security-assessment/,qualified_batch_03
Acora,https://acora.com/,B,CEO; Head of Cyber Services; Marketing Director,UK business technology provider with managed cyber services and a bounded Secure 365 Assessment,https://acora.com/our-services/professional-services/secure-365-assessment-service/,qualified_batch_03
ramsac,https://www.ramsac.com/,B,Managing Director; Marketing and Communications Manager; Head of Cybersecurity,UK managed IT and cyber provider with a Cyber Resilience Assessment and named leadership,https://www.ramsac.com/managed-cybersecurity-services/,qualified_batch_03
Quiss,https://www.quiss.co.uk/,B,Managing Director; Head of Business Development; Commercial Services Manager,UK MSP for legal and professional services with three cyber tiers and a Cyber Readiness Assessment,https://www.quiss.co.uk/cyber-security/,qualified_batch_03
Bluecube,https://bluecubecloud.com/,B,Managing Director; Sales Director; Marketing Lead,UK managed IT and communications provider with a free IT and Communications audit,https://bluecubecloud.com/it-services/,qualified_batch_03
Fifosys,https://www.fifosys.com/,B,Managing Director; Head of Partner Success; Marketing Manager,UK MSP/MSSP with a defined audit-to-consultation acquisition sequence,https://www.fifosys.com/managed-services,qualified_batch_03
NormCyber,https://www.normcyber.com/,B,CEO; Chief Revenue Officer; Chief Marketing Officer,UK MSSP with a quantified Cyber Resilience Score and named Focal Analyst model,https://www.normcyber.com/how-it-works/cyber-resilience-score/,qualified_batch_03
Cyber Tec Security,https://www.cybertecsecurity.com/,B,Founder and CEO; Sales Lead; Marketing Lead,"UK and Jersey cyber certification provider with visible packages, pricing and guided assessment routes",https://www.cybertecsecurity.com/,qualified_batch_03
Mitigo,https://mitigogroup.com/,B,CEO; Chief Commercial Officer; Director of Business Development,UK cybersecurity risk-management provider with sector content and a public commercial route,https://mitigogroup.com/about-us/,qualified_batch_03
Bulletproof,https://www.bulletproof.co.uk/,B,Commercial Director; Marketing Director,Current domain redirects to WorkNest Secure after consolidation; no longer a clean standalone account,https://www.bulletproof.co.uk/,disqualified_no_longer_standalone
Bridewell,https://www.bridewell.com/,C,Chief Commercial Officer; Marketing Director,Large global critical-national-infrastructure cybersecurity provider outside the current SME and mid-market wedge,https://www.bridewell.com/managed-security,disqualified_market_fit
Central Technology,https://www.ct.co.uk/,B,Managing Director; Cyber Commercial Owner; Marketing Lead,UK managed technology provider with a detailed Cyber Security Review and public sales route | bounced 2026-08-19: sales@ct.uk is the published address and its M365 group rejects external senders,https://www.ct.co.uk/services/cyber-security-review/,disqualified_unreachable_by_email
Xperience,https://www.xperience-group.com/,B,CEO; Cyber Commercial Owner; Marketing Lead,UK technology partner with a free scored Cyber Security Assessment and public proof,https://www.xperience-group.com/solutions/cyber-security/cyber-security-overview/,qualified_batch_04
totality services,https://www.totalityservices.co.uk/,B,Managing Director; Commercial Owner; Marketing Lead,London MSP with a free audit and a defined network-security report,https://www.totalityservices.co.uk/services/security-compliance/,qualified_batch_04
Carden IT Group,https://cardenitgroup.com/,B,Managing Director; Managed Services Commercial Owner; Marketing Lead,UK MSP with a network assessment covering devices connections and vulnerabilities,https://cardenitservices.co.uk/network-assessment/,qualified_batch_04
OryxAlign,https://www.oryxalign.com/,B,CEO; Cyber Commercial Owner; Marketing Lead,London B Corp MSP with a cyber score maturity assessment and tailored audit route | bounced 2026-08-19: hello@oryxalign.com is the only published address and returned 550 blocked,https://www.oryxalign.com/cyber,disqualified_unreachable_by_email
Neuways,https://neuways.com/,B,Managing Director; Threatsafe Commercial Owner; Marketing Lead,UK managed IT and cyber provider with the branded Threatsafe programme,https://neuways.com/managed-cyber-security/,qualified_batch_04
CyberLab,https://cyberlab.co.uk/,B,Managing Director; Commercial Director; Marketing Director,UK cyber specialist with separate free Posture Assessment and HackRisk routes | bounced 2026-08-19: email Cloudflare-obfuscated; enquiries@ bounced address-not-found,https://cyberlab.co.uk/services/posture-assessment/,disqualified_unreachable_by_email
Waterstons,https://www.waterstons.com/,B,CEO; Head of Security Operations; Cyber Commercial Owner,UK technology consultancy with SOC and multiple named cyber-assessment services,https://www.waterstons.com/services/cyber/penetration-testing-services,qualified_batch_04
Brightsolid,https://brightsolid.com/,B,Managing Director; Cyber Commercial Owner; Marketing Lead,UK managed cloud and cyber provider with detailed managed vulnerability scanning,https://brightsolid.com/services/managed-vulnerability-scanning/,qualified_batch_04
Probrand,https://www.probrand.co.uk/,B,Managing Director; Cyber Commercial Owner; Marketing Lead,UK IT and cyber provider with guided and self-serve risk-assessment routes,https://marketplace.probrand.co.uk/campaigns/free-cyber-security-risk-assessment,qualified_batch_04
M247,https://m247.com/,B,CEO; Managed Cyber Commercial Owner; Marketing Director,UK technology provider with free M365 Security Assessment and managed cyber services,https://info.m247.com/m365-security-assessment,qualified_batch_05
Atlas Cloud,https://atlascloud.co.uk/,B,CEO; Head of Cyber Security; Account Director,UK MSP with a defined Cyber Security MOT and deeper consultancy ladder,https://atlascloud.co.uk/it-services/cyber-security-consultancy/mot/,qualified_batch_05
Blue Frontier,https://www.bluefrontier.co.uk/,B,Managing Director; IT and Cyber Commercial Owner; Marketing Director,UK digital growth partner with a substantial IT and cyber practice,https://www.bluefrontier.co.uk/it-cyber/managed-it/patch-management-vulnerability-control,qualified_batch_05
KHIPU Networks,https://www.khipu-networks.com/,B,Managing Director; UK Cyber Commercial Owner; Marketing Lead,UK cyber and network provider with an education-specific Community SOC,https://www.khipu-networks.com/wp-content/uploads/KHIPU-Community-SOC-Solution-Brief-Universities_no-logo.pdf,qualified_batch_05
DSI Ltd,https://dsiltd.co.uk/,B,Managing Director; Managed Services Commercial Owner; Marketing Lead,UK managed-services provider with a live but date-expired assessment promotion,https://dsiltd.co.uk/managed-services-promotion/,qualified_batch_05
ADM Computing,https://www.adm-computing.co.uk/,B,Managing Director; Cyber Commercial Owner; Marketing Lead,UK MSP with a prominent free cyber audit and public operating proof,https://www.adm-computing.co.uk/,qualified_batch_05
System Force IT,https://systemforce.co.uk/,B,Managing Director; Commercial Owner; Marketing Lead,UK SME MSP with a detailed free audit and written five-day output,https://systemforce.co.uk/free-it-audit/,qualified_batch_05
Foresight IT Services,https://www.foresightuk.com/,B,Managing Director; Commercial Owner; Marketing Lead,Greater Manchester MSP with three adjacent free assessment and risk tools,https://www.foresightuk.com/,qualified_batch_05
AJT Managed IT Services,https://ajt.support/,B,Managing Director; Technical Director; Commercial Owner,Sussex MSP with a bounded free cyber health check and quantified cases,https://ajt.support/our-services/free-cyber-security-health-check/,qualified_batch_05
Inology IT,https://inology.co.uk/,B,Managing Director; Commercial Owner; Marketing Lead,Manchester MSP with an anonymous Cyber Score and separate service Fit Finder | bounced 2026-08-19: no email published anywhere; contact form and phone only,https://inology.co.uk/,disqualified_unreachable_by_email
Six Degrees,https://www.6dg.co.uk/,C,Chief Revenue Officer; Marketing Director,Current site states 450 employees and Claranet ownership; enterprise-scale outlier for this wedge,https://www.6dg.co.uk/cns/about/,disqualified_market_fit
AMVIA,https://amvia.co.uk/,A,Commercial owner,"UK MSP, 24/7 SOC; hello@amvia.co.uk published as general enquiries/sales, not obfuscated | bounced 2026-08-20: hello@amvia.co.uk address not found despite being the published mailto",https://amvia.co.uk/contact,disqualified_unreachable_by_email
Utilize,https://www.utilize.co.uk/,A,Commercial owner,"UK MSP for SME/mid-market, fixed-fee IT security audit offer; info@utilize.co.uk published four times, not obfuscated",https://www.utilize.co.uk/contact,qualified_batch_06_replacement
Grant McGregor,https://www.grantmcgregor.co.uk/,A,Commercial owner,UK MSP; info@grantmcgregor.co.uk published and the page states the form is NOT monitored for support - a commercial route by design,https://www.grantmcgregor.co.uk/contact-us,qualified_batch_06_replacement
Wanstor,https://www.wanstor.com/,A,Commercial owner,"UK MSP; sales@wanstor.com published for account management and new enquiries, separate from servicedesk@ - no support-queue risk",https://www.wanstor.com/contact/,qualified_batch_06_replacement
Nviron,https://www.nviron.co.uk/,A,Commercial owner,"UK MSP; hello@nviron.co.uk published in footer, client support routed separately to /help",https://www.nviron.co.uk/managed-it-support-services,qualified_batch_06_replacement
Cheeky Munkey,https://www.cheekymunkey.co.uk/,A,Commercial owner,"UK MSP, Hertfordshire; info@cheekymunkey.co.uk published as sales with a separate help@/support@ - a maintained split, not a catch-all. MX on Microsoft 365. Free security audit worth up to GBP 2,000 exists but is gated behind refer-a-friend.",https://www.cheekymunkey.co.uk/contact/,qualified_batch_06_replacement
