date_first_contact,company,recipient,role,recipient_class,channel,stage,teardown,message_variant,meaningful_reply,notes
2026-08-19,OryxAlign,Commercial owner,Cyber commercial owner,role_inbox,email,bounced,experiments/EXP-ACQ-0001/sales/teardowns/36-oryxalign.md,OBS-ECON-CTA-v1,,"Sent via Gmail to hello@oryxalign.com; Gmail message 1a01af63b189f0f5 confirmed SENT | hard bounce 2026-08-19: hello@oryxalign.com blocked, 550 permanent failure"
2026-08-19,Neuways,Commercial owner,Threatsafe commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/37-neuways.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@neuways.com; Gmail message 1a01af63c2d23116 confirmed SENT
2026-08-19,CyberLab,Commercial owner,Commercial owner,role_inbox,email,bounced,experiments/EXP-ACQ-0001/sales/teardowns/38-cyberlab.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@cyberlab.co.uk; Gmail message 1a01af6414b3f661 confirmed SENT | hard bounce 2026-08-19: enquiries@cyberlab.co.uk address not found
2026-08-19,Waterstons,Commercial owner,Cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/39-waterstons.md,OBS-ECON-CTA-v1,,Sent via Gmail to ROLE_INBOX; Gmail message 1a01af64552ee411 confirmed SENT
2026-08-19,Brightsolid,Commercial owner,Cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/40-brightsolid.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@brightsolid.com; Gmail message 1a01af647e206e06 confirmed SENT
2026-08-19,Probrand,Commercial owner,Cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/41-probrand.md,OBS-ECON-CTA-v1,,Sent via Gmail to ROLE_INBOX; Gmail message 1a01af64939d424a confirmed SENT
2026-08-19,M247,Commercial owner,Managed cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/42-m247.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@m247.com; Gmail message 1a01af66d3829a84 confirmed SENT
2026-08-19,Atlas Cloud,Commercial owner,Cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/43-atlas-cloud.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@atlascloud.co.uk; Gmail message 1a01af67042cfbbc confirmed SENT
2026-08-19,Blue Frontier,P-26,IT and cyber commercial owner,named_buyer,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/44-blue-frontier.md,OBS-ECON-CTA-v1,,Sent via Gmail to P-26; Gmail message 1a01af673e86de7e confirmed SENT
2026-08-19,KHIPU Networks,Commercial owner,UK cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/45-khipu-networks.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@khipu-networks.com; Gmail message 1a01af6756bcf7bb confirmed SENT
2026-08-19,DSI Ltd,Commercial owner,Managed services commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/46-dsi-ltd.md,OBS-ECON-CTA-v1,,Sent via Gmail to ROLE_INBOX; Gmail message 1a01af6777243045 confirmed SENT
2026-08-19,ADM Computing,Commercial owner,Cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/47-adm-computing.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@adm-computing.co.uk; Gmail message 1a01af678842f09c confirmed SENT
2026-08-19,System Force IT,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/48-system-force-it.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@systemforce.co.uk; Gmail message 1a01af67b16b1208 confirmed SENT
2026-08-19,Foresight IT Services,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/49-foresight-it-services.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@foresightuk.com; Gmail message 1a01af681b1675ac confirmed SENT
2026-08-19,AJT Managed IT Services,P-27,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/50-ajt-managed-it-services.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@ajt.support; Gmail message 1a01af6838c4cbf5 confirmed SENT
2026-08-19,Inology IT,Commercial owner,Commercial owner,role_inbox,email,bounced,experiments/EXP-ACQ-0001/sales/teardowns/51-inology-it.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@inology.co.uk; Gmail message 1a01af686f2d336d confirmed SENT | hard bounce 2026-08-19: hello@inology.co.uk address not found
2026-08-20,AMVIA,Commercial owner,Commercial owner,role_inbox,email,bounced,experiments/EXP-ACQ-0001/sales/outbound-messages-batch-06.md,OBS-ECON-CTA-v1,,"batch-06 replacement; hard bounce 2026-08-20: address not found, despite being the published mailto on their contact page"
2026-08-20,Utilize,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/outbound-messages-batch-06.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@utilize.co.uk; Gmail message 1a01f19decba01f4 confirmed SENT; no bounce within the hour
2026-08-20,Grant McGregor,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/outbound-messages-batch-06.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@grantmcgregor.co.uk; Gmail message 1a01f1a16b7cbe71 confirmed SENT; no bounce within the hour
2026-08-20,Wanstor,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/outbound-messages-batch-06.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@wanstor.com; Gmail message 1a01f1a611fd0721 confirmed SENT; no bounce within the hour
2026-08-20,Nviron,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/outbound-messages-batch-06.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@nviron.co.uk; Gmail message 1a01f1c15152f11e confirmed SENT; no bounce within the hour
2026-08-20,Cheeky Munkey,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/outbound-messages-batch-06.md,OBS-ECON-CTA-v1,,"Sent via Gmail to info@cheekymunkey.co.uk; Gmail message 1a01f20cdecad00d confirmed SENT; no bounce within the hour; MX on Microsoft 365, sales address separate from help@"
